digram,frequency
एक,4.771929824561403
था,0.42105263157894735
वह,1.4736842105263157
का,4.631578947368421
कर,5.333333333333333
के,9.824561403508772
और,8.421052631578947
थी,0.21052631578947367
कि,4.0701754385964914
ही,3.6491228070175437
जब,0.5614035087719298
भी,3.2280701754385963
बन,0.49122807017543857
को,5.543859649122807
है,3.8596491228070176
नव,0.07017543859649122
ने,1.1929824561403508
की,6.666666666666667
कह,0.21052631578947367
यह,0.7017543859649122
पर,3.5789473684210527
सब,0.2807017543859649
इस,1.8245614035087718
जा,0.7017543859649122
तब,0.49122807017543857
सच,0.21052631578947367
हो,2.175438596491228
से,6.947368421052632
चल,0.07017543859649122
शक,0.07017543859649122
मे,0.2807017543859649
रह,0.21052631578947367
जल,0.07017543859649122
उस,1.0526315789473684
ले,0.631578947368421
ना,0.3508771929824561
आग,0.07017543859649122
लग,0.21052631578947367
मर,0.14035087719298245
गए,0.2807017543859649
रथ,0.07017543859649122
नह,0.07017543859649122
जो,0.49122807017543857
फल,0.07017543859649122
दे,0.631578947368421
वो,0.8421052631578947
तो,1.4736842105263157
आस,0.07017543859649122
या,0.21052631578947367
थे,0.631578947368421
पद,0.07017543859649122
तक,0.21052631578947367
कई,0.3508771929824561
अब,0.42105263157894735
आम,0.07017543859649122
हर,0.42105263157894735
घर,0.7017543859649122
सी,0.21052631578947367
उन,0.42105263157894735
भय,0.07017543859649122
तय,0.07017543859649122
आप,0.631578947368421
सा,0.2807017543859649
कम,0.07017543859649122
?”,0.07017543859649122
दस,0.21052631578947367
दो,0.2807017543859649
मन,0.3508771929824561
वे,0.5614035087719298
कल,0.07017543859649122
गण,0.07017543859649122
हम,0.7017543859649122
जड़,0.42105263157894735
पड़,0.07017543859649122
झट,0.07017543859649122
ला,0.14035087719298245
चढ़,0.07017543859649122
मै,0.21052631578947367
रख,0.14035087719298245
ओर,0.2807017543859649
बढ़,0.07017543859649122
इन,0.14035087719298245
दी,0.07017543859649122
पक,0.07017543859649122
सो,0.2807017543859649
खा,0.07017543859649122
भर,0.49122807017543857
तू,0.14035087719298245
बस,0.21052631578947367
ये,0.07017543859649122
जग,0.07017543859649122
जी,0.7017543859649122
मत,0.14035087719298245
|’,0.07017543859649122
आई,0.07017543859649122
सर,0.07017543859649122
